LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,"ATANE ENGINEERS, ARCHITECTS, AND LAND SURVEYORS",40 Wall Street,NEW YORK,NY,10005.0,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,235.0,04/09/2020,Republic First Bank d/b/a Republic Bank,NY - 10
a $5-10 million,ATLAS ACON ELECTRIC SERVICE CORP,283 Hudson Street,NEW YORK,NY,10013.0,238210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,329.0,04/13/2020,Valley National Bank,NY - 07
a $5-10 million,"AURIFY BRANDS, LLC","56 West 22nd St, 2nd Fl",NEW YORK,NY,10010.0,722513.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 12
a $5-10 million,"AVONDALE GROUP INC, THE",505 8TH AVE RM 200,NEW YORK,NY,10018.0,621610.0,Corporation,Unanswered,Male Owned,Non-Veteran,,500.0,05/03/2020,"Bank of America, National Association",NY - 10
a $5-10 million,AXELON SERVICES CORPORATION,"44 Wall Street, 18th Floor",NEW YORK,NY,10005.0,561311.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/28/2020,KeyBank National Association,NY - 10
a $5-10 million,BAHA INDUSTRIES CORP,469 7TH AVE,NEW YORK,NY,10018.0,518210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,300.0,04/28/2020,"HSBC Bank USA, National Association",NY - 10
a $5-10 million,"BALLET THEATRE FOUNDATION, INC.","890 Broadway, 3rd Floor 0.0",NEW YORK,NY,10003.0,711120.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,226.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 07
a $5-10 million,"BARKBOX, INC.",221 Canal St 2nd Floor,NEW YORK,NY,10013.0,454110.0,Corporation,Unanswered,Unanswered,Unanswered,,340.0,04/14/2020,Western Alliance Bank,NY - 07
a $5-10 million,"BDG MEDIA, INC.","315 Park Avenue South, 12th Floor",NEW YORK,NY,10010.0,519130.0,Corporation,Unanswered,Unanswered,Unanswered,,450.0,04/16/2020,"JPMorgan Chase Bank, National Association",NY - 12
a $5-10 million,"BEDDING ACQUISITION, LLC",60 EAST 42ND ST SUITE 1250,NEW YORK,NY,10165.0,314999.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,05/03/2020,East West Bank,NY - 12
a $5-10 million,BERDON LLP,360 Madison Avenue,NEW YORK,NY,10017.0,541211.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,298.0,04/11/2020,Signature Bank,NY - 12
a $5-10 million,BHS HOLDINGS LLC,770 Lexington Avenue 0.0,NEW YORK,NY,10065.0,531311.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,483.0,04/15/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,BIRCH FAMILY SERVICES INC,104 W 29TH STREET 3RD FLOOR,NEW YORK,NY,10001.0,624120.0,Partnership,Unanswered,Unanswered,Unanswered,,0.0,04/15/2020,"TD Bank, National Association",NY - 10
a $5-10 million,BLUEESTONE LANE HOLDINGS LLC,90 Water Street,NEW YORK,NY,10005.0,722511.0,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,400.0,04/06/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,BREADROLL LLC,373 Park Ave South,NEW YORK,NY,10016.0,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/15/2020,"Santander Bank, National Association",NY - 12
a $5-10 million,BROOKWOOD COMPANIES INCORPORATED AND SUBSIDIARIES,485 MADISON AVE STE 500,NEW YORK,NY,10022.0,314999.0,Corporation,Unanswered,Unanswered,Unanswered,,372.0,05/07/2020,Truist Bank d/b/a Branch Banking & Trust Co,NY - 12
a $5-10 million,"BZR, INC.","325 Hudson Street, Fourth Floor",NEW YORK,NY,10013.0,454110.0,Corporation,Unanswered,Unanswered,Unanswered,,,05/08/2020,Radius Bank,NY - 07
a $5-10 million,CANDID CARE CO.,44 West 28th Street Floor 14,NEW YORK,NY,10001.0,561110.0,Corporation,Unanswered,Unanswered,Unanswered,,186.0,04/13/2020,Silicon Valley Bank,NY - 10
a $5-10 million,"CATHOLIC MANAGED LONG TERM CARE, INC.",205 Lexington Avenue,NEW YORK,NY,10016.0,623110.0,Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/28/2020,Sterling National Bank,NY - 12
a $5-10 million,CENTER FOR FAMILY SUPPORT INC,333 SEVENTH AVE 9TH FL,NEW YORK,NY,10001.0,624190.0,Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/27/2020,Israel Discount Bank of New York,NY - 10
a $5-10 million,"CENTRAL PARK CONSERVANCY, INC.",14 East 60th Street 0.0,NEW YORK,NY,10022.0,813219.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,336.0,04/10/2020,"JPMorgan Chase Bank, National Association",NY - 12
a $5-10 million,"CHOP'T HOLDINGS, LLC","853 Broadway, Suite 606 0.0",NEW YORK,NY,10003.0,722513.0,Partnership,Unanswered,Unanswered,Unanswered,,500.0,04/09/2020,"JPMorgan Chase Bank, National Association",NY - 07
a $5-10 million,"COLOREDGE, INC","25 West 31st Street, 4th Floor",NEW YORK,NY,10001.0,323111.0,Corporation,Unanswered,Unanswered,Unanswered,,239.0,04/15/2020,"PNC Bank, National Association",NY - 10
a $5-10 million,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,5 W 93rd St,NEW YORK,NY,10025.0,611110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,436.0,04/16/2020,First Republic Bank,NY - 10
a $5-10 million,"COMMUNITY COUNSELLING SERVICE CO., LLC","527 MADISON AVE, FL5",NEW YORK,NY,10022.0,541990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,399.0,04/08/2020,"PNC Bank, National Association",NY - 12
a $5-10 million,COMMUNITY HEALTH PROJECT INC,356 WEST  18TH ST,NEW YORK,NY,10011.0,813219.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,354.0,04/27/2020,Spring Bank,NY - 10
a $5-10 million,"CONDUCTOR FOUNDERS, INC.",2 PARK AVE,NEW YORK,NY,10016.0,541512.0,Corporation,Unanswered,Unanswered,Unanswered,,206.0,04/05/2020,Mid Penn Bank,NY - 12
a $5-10 million,"CONSOLIDATED CARPET WORKROOM, LLC",16 W 22nd Street 12th Floor,NEW YORK,NY,10010.0,238330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,186.0,04/09/2020,Valley National Bank,NY - 12
a $5-10 million,"CROHN'S & COLITIS FOUNDATION, INC.",733 Third Ave. Suite 510,NEW YORK,NY,10017.0,813212.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,319.0,04/13/2020,"Flagstar Bank, FSB",NY - 12
a $5-10 million,CURTIS PARTITION CORP,253 West 35th Street 9th Floor,NEW YORK,NY,10001.0,238310.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,202.0,04/15/2020,Manufacturers and Traders Trust Company,NY - 10
a $5-10 million,DESIMONE CONSULTING ENGINEERING GROUP LLC,140 Broadway 25th Floor,NEW YORK,NY,10005.0,541330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,323.0,04/12/2020,Manufacturers and Traders Trust Company,NY - 10
a $5-10 million,"DHG MANAGEMENT COMPANY, LLC","551 Fifth Avenue, 10th Floor New York",NEW YORK,NY,10176.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,494.0,04/09/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,DIG INN RESTAURANT GROUP LLC,"1235 Broadway, 2F, 0.0",NEW YORK,NY,10001.0,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,295.0,04/10/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,ENZO BIOCHEM INC,527 MADISON AVE,NEW YORK,NY,10022.0,325412.0,Corporation,Unanswered,Male Owned,Unanswered,,425.0,04/15/2020,"Citibank, N.A.",NY - 12
a $5-10 million,EUROTECH CONSTRUCTION CORP.,1212 Avenue of the Americas,NEW YORK,NY,10036.0,238310.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,110.0,04/28/2020,Idaho First Bank,NY - 10
a $5-10 million,EXIGER LLC,1095 AVENUE OF THE AMERICAS FL 5,NEW YORK,NY,10036.0,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,334.0,05/03/2020,"Bank of America, National Association",NY - 10
a $5-10 million,"FACSIMILE COMMUNICATIONS INDUSTRIES, INC.",134 W 26TH ST,NEW YORK,NY,10001.0,541519.0,Corporation,White,Male Owned,Non-Veteran,,475.0,04/08/2020,City National Bank,NY - 10
a $5-10 million,FAREPORTAL INC,135 WEST 50TH ST STE 500,NEW YORK,NY,10020.0,561510.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,100.0,04/15/2020,Axos Bank,NY - 12
a $5-10 million,"FINN PARTNERS, INC.",301 E 57TH ST,NEW YORK,NY,10022.0,541820.0,Corporation,White,Male Owned,Unanswered,,500.0,04/10/2020,East West Bank,NY - 12
a $5-10 million,FIRST QUALITY MAINTENANCE II LLC,318 W 39 STREET,NEW YORK,NY,10018.0,561210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/30/2020,"TD Bank, National Association",NY - 10
a $5-10 million,"FORREST SOLUTIONS, INC.",19 W 44th Street,NEW YORK,NY,10036.0,561311.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/14/2020,KeyBank National Association,NY - 10
a $5-10 million,FRAMESTORE INC,61 BROADWAY 32 FLOOR,NEW YORK,NY,10006.0,512110.0,Corporation,Unanswered,Unanswered,Unanswered,,270.0,04/08/2020,City National Bank,NY - 10
a $5-10 million,FRIEDMAN LLP,165 BROADWAY,NEW YORK,NY,10006.0,541211.0,Sole Proprietorship,White,Male Owned,Non-Veteran,,491.0,04/10/2020,East West Bank,NY - 10
a $5-10 million,"GC SHL, LLC",848 WASHINGTON ST,NEW YORK,NY,10014.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,468.0,06/29/2020,East West Bank,NY - 10
a $5-10 million,GIRL SCOUTS OF THE UNITED STATES OF AMERICA,420 Fifth Avenue 0.0,NEW YORK,NY,10018.0,813410.0,Professional Association,Unanswered,Unanswered,Unanswered,,408.0,04/10/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,"GUARDIAN SERVICE INDUSTRIES, INC.",55 Water Street Lobby Level,NEW YORK,NY,10041.0,541720.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,"Capital One, National Association",NY - 10
a $5-10 million,GUIDEPOINT GLOBAL LLC,675 AVENUE OF THE AMERICAS,NEW YORK,NY,10010.0,541720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,477.0,04/10/2020,"HSBC Bank USA, National Association",NY - 12
a $5-10 million,"HARDESTY & HANOVER, LLC",1501 Broadway 0.0,NEW YORK,NY,10036.0,541330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,350.0,04/10/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,HCMC LEGAL INC,360 LEXINGTON AVE  SUITE 1100,NEW YORK,NY,10017.0,561330.0,Corporation,Unanswered,Unanswered,Unanswered,,500.0,05/01/2020,American Community Bank & Trust,NY - 12
a $5-10 million,HEDGESERV CORPORATION,4 Times Square 8th Floor 0.0,NEW YORK,NY,10036.0,541990.0,Corporation,Unanswered,Unanswered,Unanswered,,288.0,04/14/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,HENRY STREET SETTLEMENT,265 Henry Street,NEW YORK,NY,10002.0,813219.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,05/06/2020,New York Business Development Corporation,NY - 07
a $5-10 million,HOME HEALTH MANAGEMENT SERVICES INC,30 Broad St 12th Floor,NEW YORK,NY,10004.0,621610.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500.0,04/27/2020,"Harvest Small Business Finance, LLC",NY - 10
a $5-10 million,HUDSON MERIDIAN CONSTRUCTION GROUP LLC,61 Broadway,NEW YORK,NY,10006.0,236220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,117.0,04/13/2020,"BankUnited, National Association",NY - 10
a $5-10 million,"HUGHES HUBBARD & REED, LLP",ONE BATTERY PARK PLZ,NEW YORK,NY,10004.0,541110.0,Partnership,Unanswered,Unanswered,Unanswered,,442.0,04/15/2020,"Citibank, N.A.",NY - 10
a $5-10 million,ICONIC COPLEY PLAZA HOTEL LLC,150 E. 58th Street 39th Floor,NEW YORK,NY,10155.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,300.0,04/15/2020,Valley National Bank,NY - 12
a $5-10 million,"INFINITY CONSULTING SOLUTIONS, INC",462 7th Avenue 2nd Floor,NEW YORK,NY,10018.0,541618.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,466.0,04/14/2020,"TD Bank, National Association",NY - 10
a $5-10 million,IPSOFT INCORPORATED,17 State Street 0.0,NEW YORK,NY,10004.0,517919.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,477.0,04/14/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,"JAROS, BAUM & BOLLES CONSULTING ENGINEERS, LLP","80 Pine Street, Floor 12 0.0",NEW YORK,NY,10005.0,541330.0,Partnership,Unanswered,Unanswered,Unanswered,,289.0,04/09/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,JBC HOLDINGS NY LLC,108 W 39th Street 7th Floor,NEW YORK,NY,10018.0,561311.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,420.0,04/15/2020,"Santander Bank, National Association",NY - 10
a $5-10 million,JORDACHE ENTERPRISES INC.,1400 BROADWAY,NEW YORK,NY,10018.0,315220.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,429.0,04/27/2020,Bank Leumi USA,NY - 10
a $5-10 million,JRM CONSTRUCTION MANAGEMENT LLC,242 W 36th St Fl 9,NEW YORK,NY,10018.0,236220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/10/2020,"Bank of America, National Association",NY - 10
a $5-10 million,KASOWITZ BENSON TORRES LLP,1633 BROADWAY,NEW YORK,NY,10019.0,541110.0,Partnership,Unanswered,Unanswered,Unanswered,,402.0,04/15/2020,"Citibank, N.A.",NY - 10
a $5-10 million,KELLEY DRYE %26 WARREN LLP,101 Park Avenue 0.0,NEW YORK,NY,10178.0,541110.0,Partnership,Unanswered,Unanswered,Unanswered,,483.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,KLEINKNECHT ELECTRIC COMPANY INC.,19 W 44th Street Suit 500,NEW YORK,NY,10036.0,238210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,232.0,04/12/2020,"BankUnited, National Association",NY - 10
a $5-10 million,"KNOTEL, INC.","29 W. 35th Street, 2nd Floor 0.0",NEW YORK,NY,10001.0,531120.0,Corporation,Unanswered,Unanswered,Unanswered,,159.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,KOBRE & KIM LLP,800 3RD AVE,NEW YORK,NY,10022.0,541110.0,Partnership,Unanswered,Male Owned,Non-Veteran,,378.0,04/27/2020,East West Bank,NY - 12
a $5-10 million,"LINDBLAD EXPEDITIONS, LLC",96 MORTON ST,NEW YORK,NY,10014.0,561520.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,461.0,04/09/2020,"Citibank, N.A.",NY - 10
a $5-10 million,MAGNIFICO INC.,315 w 36TH ST,NEW YORK,NY,10018.0,511210.0,Corporation,Unanswered,Unanswered,Unanswered,,441.0,05/18/2020,Fountainhead SBF LLC,NY - 10
a $5-10 million,MARYMOUNT MANHATTAN COLLEGE,221 E 71st Street 0.0,NEW YORK,NY,10021.0,611310.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,362.0,05/08/2020,"JPMorgan Chase Bank, National Association",NY - 07
a $5-10 million,"MEDIAMATH, INC.",150 Greenwich Street,NEW YORK,NY,10007.0,541990.0,Corporation,Unanswered,Unanswered,Unanswered,,385.0,06/01/2020,American Express National Bank,NY - 07
a $5-10 million,MERIDIAN CAPITAL GROUP LLC,1 Battery Park Plz,NEW YORK,NY,10004.0,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,330.0,04/12/2020,First Republic Bank,NY - 10
a $5-10 million,METROPOLITAN TELECOMMUNICATIONS HOLDING COMPANY,55 WATER ST 32 FLOOR,NEW YORK,NY,10041.0,517911.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/09/2020,"Citizens Bank, National Association",NY - 10
a $5-10 million,MITCHELL/MARTIN INC.,550 7th Avenue 0,NEW YORK,NY,10018.0,561311.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/27/2020,"Citibank, N.A.",NY - 10
a $5-10 million,"MODA OPERANDI, INC",315 HUDSON ST 5th floor,NEW YORK,NY,10013.0,448120.0,Corporation,Unanswered,Unanswered,Unanswered,,349.0,04/12/2020,Comerica Bank,NY - 07
a $5-10 million,NAVILLUS TILE INC,633 3rd Ave 17fl,NEW YORK,NY,10017.0,238990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,403.0,04/14/2020,Signature Bank,NY - 12
a $5-10 million,NEW YORK PUBLIC RADIO,160 Varick Street,NEW YORK,NY,10013.0,515112.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,467.0,04/15/2020,Boston Private Bank & Trust Company,NY - 07
a $5-10 million,NOMAD HEALTH INC,335 Madison Ave Suite 5A,NEW YORK,NY,10017.0,541511.0,Corporation,Unanswered,Unanswered,Unanswered,,,04/27/2020,Republic First Bank d/b/a Republic Bank,NY - 12
a $5-10 million,OPEN SYSTEMS TECHNOLOGIES INC.,469 7TH AVE,NEW YORK,NY,10018.0,541612.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,306.0,04/28/2020,"HSBC Bank USA, National Association",NY - 10
a $5-10 million,"OVATION TRAVEL GROUP, INC.",666   3RD AVE,NEW YORK,NY,10017.0,561510.0,Corporation,Unanswered,Unanswered,Unanswered,,242.0,04/10/2020,"Citibank, N.A.",NY - 12
a $5-10 million,"PBM, LLC",405 Lexington Avenue 40th floor,NEW YORK,NY,10174.0,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/14/2020,Signature Bank,NY - 12
a $5-10 million,"PEOPLE CARE, INC.",116 WEST 32ND STREET 15TH FLOOR,NEW YORK,NY,10001.0,621610.0,Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/27/2020,"Harvest Small Business Finance, LLC",NY - 10
a $5-10 million,"PHREESIA, INC.",432 Park Avenue South,NEW YORK,NY,10016.0,511210.0,Corporation,Unanswered,Unanswered,Unanswered,,327.0,04/14/2020,Martha's Vineyard Savings Bank,NY - 12
a $5-10 million,"PRAGER METIS CPAS, LLC",14 PENN PLZ SUITE 1800,NEW YORK,NY,10122.0,541211.0,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,500.0,04/15/2020,City National Bank,NY - 10
a $5-10 million,"PRIDE CAPITAL PARTNERS, LLC",420 Lexington Ave 0,NEW YORK,NY,10170.0,541512.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/27/2020,"Citibank, N.A.",NY - 12
a $5-10 million,PRYOR CASHMAN LLP,7 Times Square 0.0,NEW YORK,NY,10036.0,541110.0,Partnership,Unanswered,Unanswered,Unanswered,,153.0,04/30/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,PUBLIC HEALTH SOLUTIONS,220 CHURCH ST,NEW YORK,NY,10013.0,621399.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0.0,04/28/2020,Signature Bank,NY - 07
a $5-10 million,QSAC INC,253 West 35th Street,NEW YORK,NY,10001.0,621420.0,Corporation,Unanswered,Unanswered,Unanswered,,500.0,04/28/2020,BNB Bank,NY - 10
a $5-10 million,"RAG & BONE HOLDINGS, LLC",425 West 13th Street,NEW YORK,NY,10014.0,315240.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/28/2020,"Modern Bank, National Association",NY - 10
a $5-10 million,RELAY GRADUATE SCHOOL OF EDUCATION,"25 Broadway, 3rd Floor",NEW YORK,NY,10004.0,611710.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,417.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,ROBERT B. SAMUELS INC.,253 WEST 35TH STREET FLOOR 5,NEW YORK,NY,10001.0,238210.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,268.0,04/13/2020,Savoy Bank,NY - 10
a $5-10 million,RON SMITH,28 West 44th Street,NEW YORK,NY,10036.0,525910.0,Corporation,Unanswered,Unanswered,Unanswered,,460.0,05/03/2020,"PNC Bank, National Association",NY - 10
a $5-10 million,"ROSE COMPANIES HOLDINGS, LLC","551 Fifth Avenue, 23rd Floor 0.0",NEW YORK,NY,10176.0,531390.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,50.0,04/10/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,ROUNDABOUT THEATRE COMPANY INC.,"231 West 39th Street, Suite 1200",NEW YORK,NY,10018.0,711310.0,,Unanswered,Unanswered,Unanswered,,0.0,04/27/2020,New York Business Development Corporation,NY - 10
a $5-10 million,RUSSELL TOBIN AND ASSOCIATES LLC,"420 LEXINGTON AVE, FLOOR 30",NEW YORK,NY,10170.0,523920.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,06/11/2020,"Citibank, N.A.",NY - 12
a $5-10 million,SEATGEEK INC,902 BROADWAY FL 10,NEW YORK,NY,10010.0,711410.0,Corporation,Unanswered,Unanswered,Unanswered,,297.0,04/16/2020,"Bank of America, National Association",NY - 12
a $5-10 million,"SELECT EXPRESS & LOGISTICS, LLC","55 West 39th St, 15th Floor",NEW YORK,NY,10018.0,492110.0,Partnership,Unanswered,Unanswered,Unanswered,,500.0,04/06/2020,Emigrant Bank,NY - 10
a $5-10 million,SENTRY CENTERS HOLDINGS LLC,"101 Greenwich Street, 4th Floor 0.0",NEW YORK,NY,10006.0,519120.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500.0,04/09/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,"SH GROUP, INC.",1185 Avenue of the Americas,NEW YORK,NY,10036.0,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/11/2020,"TD Bank, National Association",NY - 10
a $5-10 million,"SIA PARTNERS US, INC.","40 Rector Street, Suite 1111 0.0",NEW YORK,NY,10006.0,541618.0,Corporation,Unanswered,Unanswered,Unanswered,,320.0,04/11/2020,"JPMorgan Chase Bank, National Association",NY - 10
a $5-10 million,SILVER AUTUMN HOTEL (N.Y.) CORPORATION LTD.,65 54TH ST,NEW YORK,NY,10019.0,721110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,267.0,04/09/2020,East West Bank,NY - 10
a $5-10 million,SOURCE MEDIA HOLDINGS INC,1 State Street,NEW YORK,NY,10004.0,511120.0,Corporation,Unanswered,Male Owned,Unanswered,,206.0,04/27/2020,Bank Leumi USA,NY - 10
a $5-10 million,STARK CARPET CORP,979 3RD AVE 11th Floor,NEW YORK,NY,10022.0,424990.0,Corporation,Unanswered,Male Owned,Unanswered,,197.0,04/14/2020,Bank Leumi USA,NY - 12
a $5-10 million,"STEWARD PARTNERS GLOBAL ADVISORY, LLC",140 East 45th Street 36 Floor,NEW YORK,NY,10017.0,523920.0,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,233.0,04/10/2020,"Zions Bank, A Division of",NY - 12
